number,latitude,longitude
1,-74.02411399439133,40.68647729005382
2,-74.02603762274872,40.684654201298166
3,-74.02271062462643,40.68540533840054
4,-74.02191172524051,40.68479145094496
5,-74.02113737190848,40.685139176114895
6,-74.0219705995743,40.685901620119424
7,-74.02124200023987,40.68638961021237
8,-74.02023618100868,40.68555027858034
9,-74.01811606677009,40.687938100589626
10,-74.01843890396438,40.6882221342959
11,-74.01724964105541,40.687182054514025
12,-74.01775242063397,40.687620573168104
13,-74.01704692103571,40.68699000517814
14,-74.01635375356398,40.68762992064886
15,-74.01659422242288,40.68753884430752
16,-74.01682515201185,40.68743318053845
17,-74.01704430660531,40.68731384825345
18,-74.0164410436712,40.687760616845075
19,-74.01651528692142,40.687896611666424
20,-74.0165757151954,40.68803674988983
21,-74.01662178037324,40.68817978080272
22,-74.01665321350815,40.68832443473728
23,-74.01616495143334,40.68739854236539
24,-74.02385564444904,40.68844581698516
25,-74.02400849701164,40.68830218932334
26,-74.02245844059762,40.68975750674345
27,-74.02136084001837,40.69077810525659
28,-74.02114409709252,40.69060496669396
29,-74.02059170178329,40.69150638235128
30,-74.02039591802783,40.68995381724682
31,-74.02068856044207,40.690213353259885
32,-74.01962797813854,40.69091035704317
33,-74.01987779492228,40.69107841205096
34,-74.02018744515911,40.69126223482353
35,-74.01936657062815,40.69107071968509
36,-74.01949325939083,40.69105375964353
37,-74.0196228384334,40.69104931520165
38,-74.01975208880513,40.69105764985215
39,-74.01904129712402,40.691269967465495
40,-74.0188844381817,40.692701610906994
41,-74.0188763370874,40.69208556140252
42,-74.01833520619437,40.68979232197782
43,-74.01811489366638,40.68993844713499
44,-74.01776066003951,40.68928546722242
45,-74.0170342101211,40.68863037342981
46,-74.01650062360235,40.688302925441775
47,-74.01671972041865,40.68878868478015
48,-74.01874665686556,40.691232545488624
49,-74.01860712959397,40.6909040429338
50,-74.01845519435007,40.690578585921585
51,-74.01829105252585,40.690256588607205
52,-74.01830615295121,40.692083825471904
53,-74.01835580767441,40.69183394320834
54,-74.01822886951174,40.692671756547604
55,-74.01691429854328,40.69296295801354
56,-74.01706109665398,40.69324523813146
57,-74.01542782102364,40.69279170832477
58,-74.01552236448417,40.69246336589082
59,-74.01793061258756,40.70617486541152
60,-74.01786933921554,40.70634871866097
61,-74.01778897851509,40.70651868461614
62,-74.01769028366105,40.70668296209892
63,-74.01757436998703,40.706839866936065
64,-74.01795864322487,40.70700064794851
65,-74.01712051852822,40.70746253081502
66,-74.01750342293072,40.70762397991638
67,-74.0166257856479,40.708133934428325
68,-74.01645624871361,40.7071883049547
69,-74.01565392479951,40.704936501711806
70,-74.0151338414866,40.7062616891704
71,-74.01771378319873,40.7079687174535
72,-74.01739796592211,40.70845740998234
73,-74.01814846754196,40.708795165869475
74,-74.01695833805489,40.70905766172041
75,-74.01790211006924,40.70936161688799
76,-74.01676485998698,40.70933302581026
77,-74.01782722002253,40.70956202822801
78,-74.01638142250711,40.71007837180688
